,Sport,predicted_item_1,acc1,predicted_item_2,acc2,img
21,air hockey,bobsled,0.06152331,cradle,0.047420785,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/075.jpg
22,air hockey,pool_table,0.7753731,carousel,0.040290345,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/061.jpg
23,air hockey,library,0.07167119,hand_blower,0.066269055,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/060.jpg
24,air hockey,sea_lion,0.47829917,ping-pong_ball,0.17552905,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/074.jpg
25,air hockey,slot,0.6368274,drum,0.20017463,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/048.jpg
26,air hockey,racer,0.50715065,pickup,0.084007494,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/100.jpg
27,air hockey,ping-pong_ball,0.84251744,solar_dish,0.12873317,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/102.jpg
28,air hockey,pool_table,0.22434635,barrel,0.11256739,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/089.jpg
29,air hockey,balance_beam,0.32659012,crane,0.24263151,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/air hockey/062.jpg
30,ampute football,rugby_ball,0.5272144,volleyball,0.3419221,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/016.jpg
31,ampute football,bow,0.4588202,golf_ball,0.07064785,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/002.jpg
32,ampute football,bow,0.32170275,ski,0.18939002,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/003.jpg
33,ampute football,soccer_ball,0.7792084,golf_ball,0.20170489,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/017.jpg
34,ampute football,soccer_ball,0.9316,Staffordshire_bullterrier,0.03309521,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/029.jpg
35,ampute football,croquet_ball,0.63583434,crutch,0.15259412,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/001.jpg
36,ampute football,golf_ball,0.48215535,soccer_ball,0.19113447,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/015.jpg
37,ampute football,soccer_ball,0.68154186,volleyball,0.14710547,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/014.jpg
38,ampute football,soccer_ball,0.2943275,croquet_ball,0.24158548,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/028.jpg
39,ampute football,soccer_ball,0.4242624,croquet_ball,0.20512742,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/004.jpg
40,ampute football,golf_ball,0.7242257,croquet_ball,0.16182792,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/010.jpg
41,ampute football,ski,0.42700714,crutch,0.26557687,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/038.jpg
42,ampute football,soccer_ball,0.9612666,rugby_ball,0.036248945,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/039.jpg
43,ampute football,soccer_ball,0.72618395,rugby_ball,0.08487259,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/011.jpg
44,ampute football,crutch,0.98717946,soccer_ball,0.005871574,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/005.jpg
45,ampute football,rugby_ball,0.20859924,soccer_ball,0.16202788,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/013.jpg
46,ampute football,swing,0.24027859,soccer_ball,0.21800137,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/007.jpg
47,ampute football,ski,0.49367937,crutch,0.32880774,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/006.jpg
48,ampute football,ski,0.11818936,soccer_ball,0.11523271,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/012.jpg
49,ampute football,ski,0.606864,crutch,0.39023596,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/101.jpg
50,ampute football,soccer_ball,0.2786685,croquet_ball,0.2561101,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/049.jpg
51,ampute football,crutch,0.83805996,croquet_ball,0.09915871,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/075.jpg
52,ampute football,soccer_ball,0.9429836,golf_ball,0.016676577,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/061.jpg
53,ampute football,crutch,0.52150744,soccer_ball,0.28454718,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/060.jpg
54,ampute football,rugby_ball,0.57024753,football_helmet,0.23384239,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/074.jpg
55,ampute football,soccer_ball,0.99492955,golf_ball,0.002077351,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/048.jpg
56,ampute football,croquet_ball,0.7057778,bow,0.2021553,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/100.jpg
57,ampute football,soccer_ball,0.82567364,racket,0.08832848,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/102.jpg
58,ampute football,soccer_ball,0.16241524,bow,0.105343886,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/089.jpg
59,ampute football,soccer_ball,0.9931774,golf_ball,0.003984462,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/ampute football/062.jpg
60,archery,bow,0.99987376,pole,2.222555e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/016.jpg
61,archery,bow,0.993036,chime,0.0008206121,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/002.jpg
62,archery,microphone,0.45662984,stage,0.1538567,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/003.jpg
63,archery,bow,0.45547515,swing,0.38781145,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/017.jpg
64,archery,bow,0.99512404,gong,0.0006591745,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/029.jpg
65,archery,bow,0.9999963,rifle,1.0819778e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/001.jpg
66,archery,bow,0.9998975,pole,3.198111e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/015.jpg
67,archery,bow,0.77716523,swing,0.06122948,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/014.jpg
68,archery,hook,0.2348894,bow,0.17861742,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/028.jpg
69,archery,swing,0.98404443,bow,0.006801763,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/004.jpg
70,archery,bow,0.9998568,ski,0.00011395985,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/010.jpg
71,archery,bow,0.34312692,unicycle,0.281589,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/038.jpg
72,archery,bow,0.9987907,revolver,0.0007701398,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/039.jpg
73,archery,bow,0.9983633,punching_bag,0.0005546862,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/011.jpg
74,archery,bow,0.9950099,barbell,0.0018790954,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/005.jpg
75,archery,bow,0.9999945,swing,1.4201688e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/013.jpg
76,archery,bow,0.9982381,sarong,0.00051199767,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/007.jpg
77,archery,bow,0.99736756,barbell,0.0006652748,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/006.jpg
78,archery,bow,0.99970776,swing,0.0001837848,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/012.jpg
79,archery,bow,0.9999995,reel,1.779163e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/129.jpg
80,archery,bow,0.9996797,shield,9.4751435e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/101.jpg
81,archery,bow,0.81944233,swing,0.09133684,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/115.jpg
82,archery,bow,0.5756027,swing,0.0555926,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/049.jpg
83,archery,bow,1.0,television,5.2852505e-09,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/075.jpg
84,archery,bow,0.42232114,violin,0.1392269,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/061.jpg
85,archery,swing,0.6203756,bow,0.2596871,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/060.jpg
86,archery,bow,0.99997747,rifle,1.6744976e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/074.jpg
87,archery,bow,0.9999504,pole,2.4637584e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/048.jpg
88,archery,bow,0.9545504,cliff,0.0057401326,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/114.jpg
89,archery,bow,0.2619368,mountain_bike,0.116490655,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/100.jpg
90,arm wrestling,diaper,0.23261937,balance_beam,0.12642436,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/63.jpg
91,arm wrestling,knot,0.74455154,prison,0.052703016,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/77.jpg
92,arm wrestling,tub,0.1661597,hand-held_computer,0.068936564,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/88.jpg
93,arm wrestling,nipple,0.32942864,syringe,0.072149284,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/89.jpg
94,arm wrestling,military_uniform,0.8795502,artichoke,0.026537,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/76.jpg
95,arm wrestling,dumbbell,0.25490415,Band_Aid,0.21675894,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/62.jpg
96,arm wrestling,burrito,0.06900522,refrigerator,0.051503055,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/74.jpg
97,arm wrestling,syringe,0.053138707,Band_Aid,0.052431017,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/60.jpg
98,arm wrestling,whistle,0.10682676,bikini,0.06571938,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/48.jpg
99,arm wrestling,swimming_trunks,0.5102812,sunscreen,0.103499606,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/49.jpg
100,arm wrestling,bathing_cap,0.8976708,barbell,0.031082656,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/61.jpg
101,arm wrestling,stretcher,0.76025057,swimming_trunks,0.05966731,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/75.jpg
102,arm wrestling,bathtub,0.12840044,Band_Aid,0.07249895,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/59.jpg
103,arm wrestling,Band_Aid,0.14091174,face_powder,0.06763038,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/71.jpg
104,arm wrestling,hair_spray,0.2933646,barbershop,0.16660617,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/65.jpg
105,arm wrestling,barbell,0.5942677,dumbbell,0.2052043,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/64.jpg
106,arm wrestling,sunscreen,0.061944608,American_lobster,0.0498091,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/70.jpg
107,arm wrestling,plunger,0.2140186,screwdriver,0.1372576,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/58.jpg
108,arm wrestling,harmonica,0.27068314,dumbbell,0.1450415,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/66.jpg
109,arm wrestling,television,0.29740196,barbell,0.1832658,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/72.jpg
110,arm wrestling,Band_Aid,0.111572266,bikini,0.10927338,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/99.jpg
111,arm wrestling,bathtub,0.70332086,tub,0.22423387,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/98.jpg
112,arm wrestling,barbershop,0.09697215,prison,0.07407747,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/73.jpg
113,arm wrestling,Windsor_tie,0.2246275,prison,0.14482157,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/67.jpg
114,arm wrestling,running_shoe,0.20302464,hotdog,0.06348636,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/14.jpg
115,arm wrestling,ballplayer,0.32494196,bathing_cap,0.06599617,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/28.jpg
116,arm wrestling,Band_Aid,0.06973834,ice_lolly,0.068532564,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/29.jpg
117,arm wrestling,tub,0.22354923,bathtub,0.10252238,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/15.jpg
118,arm wrestling,syringe,0.13307142,seat_belt,0.04170146,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/01.jpg
119,arm wrestling,dumbbell,0.08507075,bath_towel,0.047511026,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/arm wrestling/17.jpg
120,axe throwing,monastery,0.5503482,vault,0.060078338,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/016.jpg
121,axe throwing,pay-phone,0.47924027,gasmask,0.14834905,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/002.jpg
122,axe throwing,crate,0.655238,barbell,0.061937336,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/003.jpg
123,axe throwing,crate,0.84170955,maze,0.05047917,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/017.jpg
124,axe throwing,bow,0.5675129,swing,0.049764823,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/029.jpg
125,axe throwing,mask,0.49657297,ski_mask,0.25704783,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/001.jpg
126,axe throwing,crate,0.3202759,maze,0.089283705,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/015.jpg
127,axe throwing,crate,0.7444224,carton,0.1484948,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/014.jpg
128,axe throwing,drumstick,0.17405659,crate,0.15341745,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/028.jpg
129,axe throwing,racket,0.19332579,drumstick,0.12600121,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/004.jpg
130,axe throwing,chain_mail,0.4869707,shield,0.111900866,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/010.jpg
131,axe throwing,gong,0.123647116,tractor,0.07552567,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/038.jpg
132,axe throwing,hatchet,0.4781355,ox,0.44298476,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/039.jpg
133,axe throwing,hatchet,0.41436145,dumbbell,0.19466439,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/011.jpg
134,axe throwing,plunger,0.0755015,ski_mask,0.06533063,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/005.jpg
135,axe throwing,tricycle,0.1148281,parking_meter,0.06757977,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/013.jpg
136,axe throwing,crate,0.626347,school_bus,0.04686957,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/007.jpg
137,axe throwing,hatchet,0.77882904,shield,0.04051043,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/006.jpg
138,axe throwing,barbell,0.3351884,dumbbell,0.24892177,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/012.jpg
139,axe throwing,miniskirt,0.15764645,cash_machine,0.07862097,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/101.jpg
140,axe throwing,binoculars,0.08967065,conch,0.03628494,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/049.jpg
141,axe throwing,barrel,0.80767506,doormat,0.034586653,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/075.jpg
142,axe throwing,hand_blower,0.55934995,revolver,0.071895935,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/061.jpg
143,axe throwing,maze,0.6099549,crate,0.24797176,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/060.jpg
144,axe throwing,gong,0.3186159,lumbermill,0.12851842,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/074.jpg
145,axe throwing,guillotine,0.41196,miniskirt,0.10336706,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/048.jpg
146,axe throwing,volleyball,0.7478728,soccer_ball,0.110021375,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/100.jpg
147,axe throwing,maze,0.69373584,crate,0.23800595,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/102.jpg
148,axe throwing,crate,0.11994467,swab,0.115030974,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/089.jpg
149,axe throwing,chainlink_fence,0.99184376,ballplayer,0.0031059268,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/axe throwing/062.jpg
150,balance beam,balance_beam,0.88743615,horizontal_bar,0.10544159,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/016.jpg
151,balance beam,balance_beam,0.81848776,horizontal_bar,0.08721232,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/002.jpg
152,balance beam,balance_beam,0.7831245,parallel_bars,0.12788083,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/003.jpg
153,balance beam,balance_beam,0.9730051,parallel_bars,0.020113505,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/017.jpg
154,balance beam,balance_beam,0.5752822,horizontal_bar,0.27324247,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/149.jpg
155,balance beam,balance_beam,0.9997063,parallel_bars,0.00015074671,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/029.jpg
156,balance beam,horizontal_bar,0.45582944,parallel_bars,0.26732507,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/001.jpg
157,balance beam,balance_beam,0.93743837,horizontal_bar,0.054097474,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/015.jpg
158,balance beam,balance_beam,0.99812895,parallel_bars,0.0010045179,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/014.jpg
159,balance beam,balance_beam,0.9905714,horizontal_bar,0.008780253,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/028.jpg
160,balance beam,balance_beam,0.8913599,parallel_bars,0.094952255,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/148.jpg
161,balance beam,balance_beam,0.9634579,horizontal_bar,0.016937794,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/004.jpg
162,balance beam,balance_beam,0.996797,parallel_bars,0.0021320996,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/010.jpg
163,balance beam,horizontal_bar,0.6393687,parallel_bars,0.20323814,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/038.jpg
164,balance beam,balance_beam,0.9998276,parallel_bars,9.542059e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/039.jpg
165,balance beam,horizontal_bar,0.7646196,parallel_bars,0.22684819,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/011.jpg
166,balance beam,balance_beam,0.9465374,parallel_bars,0.051521346,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/005.jpg
167,balance beam,balance_beam,0.9926641,parallel_bars,0.0061363364,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/013.jpg
168,balance beam,balance_beam,0.9959925,horizontal_bar,0.0026324033,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/007.jpg
169,balance beam,balance_beam,0.9829379,horizontal_bar,0.014844494,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/006.jpg
170,balance beam,balance_beam,0.9885932,horizontal_bar,0.009611747,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/012.jpg
171,balance beam,balance_beam,0.992535,horizontal_bar,0.0053363447,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/129.jpg
172,balance beam,balance_beam,0.99966943,horizontal_bar,0.0002203607,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/101.jpg
173,balance beam,balance_beam,0.9709995,parallel_bars,0.020151183,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/115.jpg
174,balance beam,balance_beam,0.9645979,parallel_bars,0.025244221,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/049.jpg
175,balance beam,balance_beam,0.9230841,parallel_bars,0.051138204,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/075.jpg
176,balance beam,balance_beam,0.9981919,horizontal_bar,0.0014526272,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/061.jpg
177,balance beam,balance_beam,0.9963386,parallel_bars,0.0031558557,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/060.jpg
178,balance beam,balance_beam,0.9998223,horizontal_bar,0.00010419275,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/074.jpg
179,balance beam,balance_beam,0.99701214,horizontal_bar,0.0022877017,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/balance beam/048.jpg
180,barell racing,barrel,0.9436552,plow,0.027869118,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/016.jpg
181,barell racing,horse_cart,0.35427648,cowboy_hat,0.2559286,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/002.jpg
182,barell racing,barrel,0.60282046,rain_barrel,0.29164645,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/003.jpg
183,barell racing,barrel,0.5678984,sorrel,0.38722247,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/017.jpg
184,barell racing,barrel,0.731931,sorrel,0.15755981,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/029.jpg
185,barell racing,sorrel,0.9989975,horse_cart,0.0001999105,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/001.jpg
186,barell racing,sorrel,0.97139627,barrel,0.006936339,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/015.jpg
187,barell racing,barrel,0.71853197,rain_barrel,0.27736372,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/014.jpg
188,barell racing,barrel,0.45417956,sorrel,0.32720846,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/028.jpg
189,barell racing,barrel,0.9494934,solar_dish,0.0071433503,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/004.jpg
190,barell racing,barrel,0.8672672,rain_barrel,0.052968863,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/barell racing/010.jpg
