,Sport,predicted_item_1,acc1,predicted_item_2,acc2,predicted_item_3,acc3,predicted_item_4,acc4,img
32,archery,bow,0.9995449,swing,0.0002842042,barbell,2.4287086e-05,flute,2.1987993e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/102.jpg
33,archery,bow,0.9838995,swing,0.014658366,suspension_bridge,8.869035e-05,tripod,8.41252e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/089.jpg
34,archery,bow,0.9137111,parallel_bars,0.010711193,tennis_ball,0.0099776,horizontal_bar,0.007851475,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/062.jpg
35,archery,bow,0.9466759,parachute,0.012170046,swing,0.0052491734,rifle,0.0052234503,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/076.jpg
36,archery,bow,0.9999516,ski,9.613335e-06,swing,5.601236e-06,pole,5.317445e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/077.jpg
37,archery,bow,0.36419702,maypole,0.22431664,parachute,0.043338276,ear,0.035226494,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/063.jpg
38,archery,bow,0.99999416,torch,1.0886514e-06,pole,6.72451e-07,reel,5.6755863e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/088.jpg
39,archery,bow,0.9141774,racket,0.016725104,torch,0.011751946,punching_bag,0.009188973,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/103.jpg
40,archery,bow,0.9995795,golf_ball,0.00014344172,swing,4.3411117e-05,reel,3.2882974e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/117.jpg
41,archery,bow,0.3557429,swing,0.22835237,reel,0.08768417,pole,0.049794257,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/113.jpg
42,archery,swing,0.89168453,bow,0.10824275,bearskin,2.2930793e-05,ski,2.190272e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/107.jpg
43,archery,bow,0.95817405,reel,0.010456546,stethoscope,0.007115698,whistle,0.0048367614,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/098.jpg
44,archery,bow,0.9999881,gong,1.3242623e-06,reel,8.8507113e-07,assault_rifle,8.2735727e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/067.jpg
45,archery,bow,0.33746415,barbell,0.09450243,prison,0.07164903,chime,0.07162805,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/073.jpg
46,archery,bow,0.7866229,swing,0.0756411,barracouta,0.016467383,gar,0.015118354,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/072.jpg
47,archery,bow,0.74824715,racket,0.23997685,ski,0.0015779109,reel,0.001478518,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/066.jpg
48,archery,bow,0.99993336,swing,3.6745972e-05,bearskin,4.0831587e-06,parallel_bars,3.583587e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/099.jpg
49,archery,bow,0.8662266,microphone,0.028406672,drumstick,0.027214184,panpipe,0.014269286,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/106.jpg
50,archery,swing,0.52045864,chain_saw,0.44125533,crane,0.022611337,oboe,0.0058132606,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/112.jpg
51,archery,bow,0.9996308,flute,0.00017799706,torch,0.00011857195,pole,8.570087e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/104.jpg
52,archery,bow,0.25053596,flagpole,0.19436803,pole,0.08357513,bell_cote,0.047781914,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/110.jpg
53,archery,bow,0.9354386,reel,0.022479007,mountain_bike,0.018632732,unicycle,0.011403927,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/070.jpg
54,archery,drum,0.31680357,reel,0.09947764,drumstick,0.089307345,bow,0.06993002,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/064.jpg
55,archery,bow,0.9997569,pole,5.9909282e-05,reel,3.467885e-05,gar,2.5402798e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/058.jpg
56,archery,bow,0.924537,paintbrush,0.012871093,washer,0.012860786,pole,0.011177481,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/059.jpg
57,archery,bow,0.9952508,balance_beam,0.0016898436,horizontal_bar,0.0015436143,gong,0.00026707392,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/065.jpg
58,archery,bow,0.9932308,swing,0.0008159391,holster,0.0006588132,revolver,0.00064295775,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/071.jpg
59,archery,bow,0.9947984,swing,0.0037900899,cliff,0.000220884,military_uniform,0.00020825486,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/111.jpg
60,archery,bow,0.5564316,crane,0.16837531,cornet,0.098390855,hook,0.032616615,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/105.jpg
61,archery,revolver,0.33024508,bow,0.16000067,worm_fence,0.061732303,violin,0.05464315,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/108.jpg
62,archery,bow,0.9654309,reel,0.0071737957,gong,0.0024128095,assault_rifle,0.002181649,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/120.jpg
63,archery,bow,0.83711565,chain_mail,0.037731163,rifle,0.035137262,assault_rifle,0.031598046,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/097.jpg
64,archery,bow,0.9999002,swing,6.129937e-05,reel,1.2489464e-05,chime,8.077782e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/083.jpg
65,archery,bow,0.99542564,swing,0.000545027,lumbermill,0.00028399282,guillotine,0.0002710563,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/068.jpg
66,archery,bow,0.99992096,rifle,1.7661338e-05,shield,1.4103881e-05,assault_rifle,1.2102107e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/054.jpg
67,archery,swing,0.6613323,bow,0.18395753,ski,0.09950622,pole,0.008950856,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/040.jpg
68,archery,bow,0.9958759,flute,0.001093195,whistle,0.00051740574,shield,0.0002736467,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/041.jpg
69,archery,swing,0.43489543,bow,0.40160155,chain_mail,0.07253865,chain,0.06409663,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/055.jpg
70,archery,bow,1.0,maypole,8.7739405e-10,canoe,8.3330093e-10,swing,4.4027018e-10,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/069.jpg
71,archery,bow,0.9998672,gong,2.6410442e-05,shield,1.9639698e-05,oxcart,1.2377192e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/082.jpg
72,archery,bow,0.99960035,stretcher,0.00020045586,prison,6.743217e-05,pole,1.9005032e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/096.jpg
73,archery,bow,0.62451464,revolver,0.30032486,hatchet,0.023826687,reel,0.009918942,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/121.jpg
74,archery,bow,0.9976726,stage,0.00059728796,shield,0.0002594482,scabbard,0.00020709845,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/109.jpg
75,archery,bow,0.96499413,tripod,0.0051615774,swing,0.0046605202,jinrikisha,0.002364743,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/123.jpg
76,archery,bow,0.9999484,reel,3.0103683e-05,assault_rifle,6.9558464e-06,maypole,1.1038102e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/080.jpg
77,archery,bow,0.99992406,maypole,4.966916e-05,torch,1.2646825e-05,reel,2.6827602e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/094.jpg
78,archery,bow,0.99448085,revolver,0.0017142666,bearskin,0.0016033247,rifle,0.00044866564,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/043.jpg
79,archery,bow,0.99999607,swing,1.643208e-06,walking_stick,3.7550376e-07,gong,2.5353663e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/057.jpg
80,archery,bow,0.964847,rifle,0.011107873,shield,0.010019368,military_uniform,0.0032338675,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/056.jpg
81,archery,bow,0.31477112,swing,0.14630164,chain,0.11585493,handkerchief,0.08300943,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/042.jpg
82,archery,bow,0.9999918,reel,7.0870715e-06,gar,3.17384e-07,pole,1.14518514e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/095.jpg
83,archery,bow,0.99998915,gar,2.535565e-06,racket,1.2998235e-06,tennis_ball,1.2125859e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/081.jpg
84,archery,bow,0.9997732,swing,0.00016374252,gar,5.4932985e-05,barracouta,4.1304666e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/122.jpg
85,archery,bow,0.94375193,swing,0.023882287,brassiere,0.0055746767,stage,0.0030866754,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/132.jpg
86,archery,bow,0.9977556,swing,0.0013415843,harmonica,0.00014939038,tripod,0.00012652663,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/126.jpg
87,archery,bow,0.751131,barbell,0.04312936,microphone,0.04250855,panpipe,0.04182845,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/085.jpg
88,archery,swing,0.55484885,bow,0.42586955,parachute,0.0025292237,maypole,0.0018656985,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/091.jpg
89,archery,bow,0.9315659,reel,0.015814357,swing,0.00935215,assault_rifle,0.0042406986,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/046.jpg
90,archery,bow,0.9961653,pole,0.0011892052,horizontal_bar,0.0008150497,swing,0.0004790717,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/052.jpg
91,archery,pole,0.4281207,bow,0.10345484,maypole,0.0954944,swing,0.041549467,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/053.jpg
92,archery,bow,0.99997437,revolver,9.8924875e-06,rifle,5.8319997e-06,assault_rifle,4.3570903e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/047.jpg
93,archery,pole,0.22082555,bow,0.1481737,maillot,0.07008013,maillot,0.05343087,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/090.jpg
94,archery,bow,0.55922467,horizontal_bar,0.09061522,stage,0.08175347,microphone,0.05189119,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/084.jpg
95,archery,bow,0.903727,academic_gown,0.07322517,neck_brace,0.0021408962,swing,0.0019263095,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/127.jpg
96,archery,bow,0.7852565,panpipe,0.026867129,bearskin,0.025063585,accordion,0.01786938,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/125.jpg
97,archery,bow,0.994449,swing,0.0035343722,maypole,0.00045158187,pole,0.00038628056,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/131.jpg
98,archery,bow,0.998173,bearskin,0.00046062353,ski,0.0002546839,stage,0.00011876408,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/119.jpg
99,archery,bow,0.6915817,ski,0.11455383,pole,0.07664612,mountain_bike,0.019984098,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/092.jpg
100,archery,bow,0.9730233,punching_bag,0.003567291,stage,0.0033220572,prison,0.0022532034,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/086.jpg
101,archery,bow,0.9999907,rifle,5.814352e-06,revolver,2.5210322e-06,assault_rifle,9.54671e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/051.jpg
102,archery,bow,0.98928636,revolver,0.001489623,pole,0.0013969486,rifle,0.00066878257,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/045.jpg
103,archery,bow,0.9952884,gar,0.0018137427,pole,0.0009085953,barbell,0.00019718628,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/079.jpg
104,archery,bow,0.9998901,vacuum,9.397237e-05,pole,1.7062963e-06,violin,1.581524e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/078.jpg
105,archery,bow,0.99985206,pole,5.6478977e-05,swing,3.81922e-05,crutch,1.0768187e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/044.jpg
106,archery,bow,0.9999722,reel,5.7536577e-06,parachute,2.2569322e-06,punching_bag,1.6112057e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/050.jpg
107,archery,bow,0.9986985,barbell,0.00031293236,horizontal_bar,0.00026011627,unicycle,8.835784e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/087.jpg
108,archery,bow,0.9989039,microphone,9.913212e-05,binoculars,9.53859e-05,tripod,8.792156e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/093.jpg
109,archery,bow,0.99516207,military_uniform,0.00048762056,mountain_bike,0.00033232986,microphone,0.0003306348,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/118.jpg
110,archery,bow,0.9999732,torch,7.5227344e-06,volleyball,2.290293e-06,parachute,1.3976507e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/130.jpg
111,archery,window_screen,0.20891401,swab,0.18900484,stole,0.065671794,cash_machine,0.045747854,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/124.jpg
112,archery,bow,0.9582066,pole,0.0080863945,miniskirt,0.0026582147,jean,0.002102097,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/037.jpg
113,archery,bow,0.99994445,horizontal_bar,1.2711703e-05,pole,1.0694674e-05,bearskin,3.3566607e-06,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/023.jpg
114,archery,bow,0.9998877,pole,2.2090237e-05,baseball,2.0390538e-05,reel,1.3096298e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/022.jpg
115,archery,bow,0.99999976,revolver,1.5138754e-07,swing,2.3464619e-08,reel,1.5538836e-08,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/036.jpg
116,archery,bow,0.49976546,quill,0.14519225,paddle,0.07791306,plunger,0.047987208,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/008.jpg
117,archery,bow,0.9997117,hand_blower,2.7752889e-05,breastplate,2.5766309e-05,kite,1.6531802e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/020.jpg
118,archery,reel,0.11338948,Saluki,0.05849702,ear,0.050406378,swing,0.048356812,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/034.jpg
119,archery,bow,0.99446577,parachute,0.0014410169,ski,0.0011641721,maypole,0.00071452075,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/035.jpg
120,archery,bow,0.5853212,barbell,0.08955336,paintbrush,0.039040525,maillot,0.0258193,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/021.jpg
121,archery,bow,0.9952657,canoe,0.0005741533,shield,0.00055491977,barbell,0.00052664516,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/009.jpg
122,archery,bow,0.99928445,racket,9.090114e-05,swing,6.0470975e-05,pole,5.2347445e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/025.jpg
123,archery,bow,0.99807644,revolver,0.00086010643,rifle,0.00077985803,pole,6.0829745e-05,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/031.jpg
124,archery,bow,1.0,reel,4.0215506e-09,revolver,4.9976107e-10,walking_stick,2.1778e-10,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/019.jpg
125,archery,bow,0.96074164,racket,0.008393429,unicycle,0.004368534,balance_beam,0.0039849193,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/018.jpg
126,archery,bow,0.99694484,stethoscope,0.00056462514,racket,0.00050046627,ski,0.00049398985,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/030.jpg
127,archery,bow,0.83833003,swing,0.0414199,reel,0.012141168,parachute,0.007907626,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/024.jpg
128,archery,kite,0.3925494,vulture,0.21157314,dragonfly,0.10632775,bald_eagle,0.038996864,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/032.jpg
129,archery,bow,0.99999666,swing,4.7781816e-07,gibbon,3.9897733e-07,spider_monkey,3.890039e-07,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/026.jpg
130,archery,bow,0.23118593,electric_guitar,0.19939491,drumstick,0.16089848,stage,0.08696501,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/027.jpg
131,archery,bow,0.20779184,worm_fence,0.20094156,gong,0.10626915,reel,0.0977595,/Users/matuskocian/PycharmProjects/ZADANIA/zad-3/train/archery/033.jpg
